call;record;name;freq;vsslM;vssl;atm;rcnty;valid_from;valid_to;uid;thmH1;platH;brmH1;anmH;anHL1;wwH;sstD1;th1;hy1;st1;bm1;an1
ONAV;1;FEDERAL HURON;MSNG;10;MSNG;MSNG;BE;1982-01-01;1989-01-01;BE-ONAV-F36465;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONAW;1;FEDERAL DANUBE;MSNG;10;MSNG;MSNG;BE;1981-01-01;1995-01-01;BE-ONAW-F36435;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONAX;1;FEDERAL HUDSON;MSNG;10;MSNG;MSNG;BE;1981-01-01;1988-01-01;BE-ONAX-F36432;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONAY;1;FEDERAL OTTAWA;MSNG;10;MSNG;MSNG;BE;1981-01-01;1995-01-01;BE-ONAY-F36430;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONBA;1;BALDER GENT;MSNG;10;MSNG;MSNG;BE;1980-01-01;1987-01-01;BE-ONBA-B43625;;18.0;;;;;;TH1;HY1;ST1;BM1;
ONBB;1;AHLERS BRIDGE;MSNG;10;MSNG;MSNG;BE;1985-01-01;1991-01-01;BE-ONBB-A46216;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONBC;1;POTOMAC;MSNG;10;MSNG;MSNG;BE;1981-01-01;1988-01-01;BE-ONBC-P35200;;17.0;;;;;;TH1;HY1;ST1;BM1;
ONBD;1;FEDERAL THAMES;MSNG;10;MSNG;MSNG;BE;1982-01-01;1995-01-01;BE-ONBD-F36435;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONBE;1;VESALIUS;MSNG;10;MSNG;MSNG;BE;1984-01-01;1995-01-01;BE-ONBE-V24200;;25.0;;;;;;TH1;HY1;ST1;BM1;
ONBG;1;MINERAL ANTWERPEN;MSNG;10;MSNG;MSNG;BE;1982-01-01;1995-01-01;BE-ONBG-M56453;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONBI;1;DART CONTINENT;MSNG;10;MSNG;MSNG;BE;1982-01-01;1995-01-01;BE-ONBI-D63253;;20.0;;;;;;TH1;HY1;ST1;BM1;
ONBP;1;MAGRITTE;MSNG;10;MSNG;MSNG;BE;1984-01-01;1995-01-01;BE-ONBP-M26300;;23.0;;;;;;TH1;HY1;ST1;BM1;
ONBQ;1;ORINOCO;MSNG;10;MSNG;MSNG;BE;1983-01-01;1995-01-01;BE-ONBQ-O65200;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONBR;1;FEDERAL SKEENA;MSNG;10;MSNG;MSNG;BE;1984-01-01;1986-01-01;BE-ONBR-F36425;;35.0;;;;;;TH1;HY1;ST1;BM1;
ONBT;1;PETROGAS II;MSNG;10;MSNG;MSNG;BE;1984-01-01;1991-01-01;BE-ONBT-P36220;;29.0;;;;;;TH1;HY1;ST1;BM1;
ONBU;1;ELLEN HUDIG;MSNG;10;MSNG;MSNG;BE;1985-01-01;1995-01-01;BE-ONBU-E45320;;23.0;;;;;;TH1;HY1;ST1;BM1;
ONBX;1;FINA BELGICA;MSNG;10;MSNG;MSNG;BE;1984-01-01;1995-01-01;BE-ONBX-F51422;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONBY;1;CORNELIS VEROLME;MSNG;10;MSNG;MSNG;BE;1985-01-01;1995-01-01;BE-ONBY-C65421;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONCQ;1;POCAHONTAS;MSNG;10;MSNG;MSNG;BE;1981-01-01;1988-01-01;BE-ONCQ-P25320;;17.0;;;;;;TH1;HY1;ST1;BM1;
ONDE;1;DELORIS;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONDE-D46200;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONEE;7;EEKLO;MSNG;10;MSNG;MSNG;BE;1978-01-01;1986-01-01;BE-ONEE-E24000;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONEL;1;HELEN;MSNG;10;MSNG;MSNG;BE;1978-01-01;1995-01-01;BE-ONEL-H45000;;26.0;;;;;;TH1;HY1;ST1;BM1;
ONFA;1;FABIOLAVILLE;MSNG;10;MSNG;MSNG;BE;1974-01-01;1995-01-01;BE-ONFA-F14140;;23.0;;;;;;TH1;HY1;ST1;BM1;
ONFH;1;FED. HUNTER;MSNG;10;MSNG;MSNG;BE;1985-01-01;1991-01-01;BE-ONFH-F35360;;33.0;;;;;;TH1;HY1;ST1;BM1;
ONIL;1;E.R. BRUGGE;MSNG;10;MSNG;MSNG;BE;1980-01-01;1995-01-01;BE-ONIL-E61620;;22.0;;;;;;TH1;HY1;ST1;BM1;
ONMA;1;MINERAL ALEGRIA;MSNG;10;MSNG;MSNG;BE;1974-01-01;1995-01-01;BE-ONMA-M56442;;24.0;;;;;;TH1;HY1;ST1;BM1;
ONMC;1;MONTSALVA;MSNG;10;MSNG;MSNG;BE;1974-01-01;1995-01-01;BE-ONMC-M53241;;20.0;;;;;;TH1;HY1;ST1;BM1;
